landmark index,distance to wrist
1,0.19678345250370097
2,0.3429716607209361
3,0.5059360133011874
4,0.647904403879516
5,0.35078861487268653
6,0.3941831526447628
7,0.33090786312802334
8,0.3050539942339396
9,0.2860437416099593
10,0.3607950631850602
11,0.27098768127162143
12,0.2234036780660007
13,0.2548727089695255
14,0.3464622219328731
15,0.2554832319702052
16,0.18491717500204496
17,0.250239745846346
18,0.3331355954883748
19,0.2635027788596749
20,0.18374188295671837
1,0.2275964678979085
2,0.37737603105655043
3,0.5111958136762159
4,0.6561615011654255
5,0.4696176087896126
6,0.43416423113076613
7,0.40699370977427085
8,0.43053273999359687
9,0.4745146267632675
10,0.4447324022168049
11,0.3357768098638563
12,0.30746048894767875
13,0.48069476081516527
14,0.48807509285397777
15,0.3506344251614801
16,0.27031072359832936
17,0.49751814230148994
18,0.5210703326100657
19,0.4042351250191737
20,0.31791271760022066
1,0.15762068608707902
2,0.3369434324344709
3,0.4682774895728475
4,0.603347036349883
5,0.35253750507939274
6,0.2544150117028874
7,0.23008762909253222
8,0.25484233109877064
9,0.2984598312048243
10,0.19047320696365622
11,0.1509398762254762
12,0.1550199665328096
13,0.2647734524236545
14,0.22328302282619145
15,0.1658698317591374
16,0.12713054771898818
17,0.26862354038610897
18,0.28159944060788766
19,0.23640579808946027
20,0.1925537810342421
1,0.09226119499264497
2,0.18932206812353528
3,0.26708741062839203
4,0.3226925678333347
5,0.19698920249265905
6,0.2524853373759202
7,0.19698088577365563
8,0.18840343892337758
9,0.17121416978034804
10,0.2285599768231302
11,0.1515355612820535
12,0.14936580009511882
13,0.15877784313956975
14,0.21643136909807065
15,0.13609948172748068
16,0.11961240132198524
17,0.16109381968768213
18,0.2008222728814959
19,0.14328462726209326
20,0.11834221498087608
1,0.05446449591818861
2,0.11613302258511686
3,0.1677038569432713
4,0.22169128988487716
5,0.09890637399753593
6,0.1367964047404832
7,0.13069073429060563
8,0.12124184682262665
9,0.07598663795274192
10,0.13916072417527797
11,0.12074575162692261
12,0.10229291650266363
13,0.07978974402832135
14,0.14123494047066937
15,0.11535304201706256
16,0.09039943693066271
17,0.10313401178006934
18,0.14622639761588954
19,0.12641359116253695
20,0.10868042558727861
1,0.0382993232981028
2,0.08151406481928646
3,0.11451243707078891
4,0.1411785926852461
5,0.08348578003087734
6,0.1280759169794499
7,0.1193920059016499
8,0.10190033362386543
9,0.06265784603603498
10,0.11192349945329927
11,0.10164515024725736
12,0.08394497944850104
13,0.04971121086082009
14,0.09927036712424746
15,0.0890157244437958
16,0.07135067380785116
17,0.054138153927029406
18,0.08831299369041744
19,0.08276475700528305
20,0.07041038065482273
1,0.049600006791782
2,0.10550606081587183
3,0.14851836476554056
4,0.1796105006734701
5,0.11166111511421277
6,0.12791326641086168
7,0.11203679385636629
8,0.10224503506418292
9,0.08997614182066935
10,0.11232629033876727
11,0.09591574799598639
12,0.0837862857459566
13,0.07405694712513615
14,0.09983677551813296
15,0.08496472631035427
16,0.0700010423819841
17,0.07242392354827513
18,0.09341313988658131
19,0.08035619577276772
20,0.06649549590914389
1,0.05318184360585479
2,0.10271866084506862
3,0.14532058791134353
4,0.17228105745574143
5,0.11080769425955733
6,0.13039189906382034
7,0.11436983670422636
8,0.1022591873171733
9,0.09567671493399701
10,0.11632249958317391
11,0.10024992378599076
12,0.08583885282139765
13,0.08686797343235034
14,0.10747618866325566
15,0.09468020699081915
16,0.07921774778337454
17,0.08762485908063014
18,0.10261920297274846
19,0.09038686809872808
20,0.07558582925432375
1,0.05857819560498764
2,0.12254200339410033
3,0.16482406548041123
4,0.19744260901183106
5,0.12332496696280461
6,0.16414400181330466
7,0.15350987391458001
8,0.14765092600082524
9,0.09665851447944039
10,0.14844851672967482
11,0.12811318513891112
12,0.11459960114755963
13,0.07980743546080162
14,0.13552714027025722
15,0.11143516085596841
16,0.09271889914269796
17,0.07971112957582384
18,0.12011120610469068
19,0.10393570396604077
20,0.08834852144171204
1,0.08520660868406006
2,0.18322355636705934
3,0.25588191510225766
4,0.30942543036479636
5,0.22118477767545802
6,0.27862653147644206
7,0.24052834369861173
8,0.20882176599783633
9,0.1996089279329741
10,0.2702004851508782
11,0.21851200008413832
12,0.1835319203686494
13,0.18697679982798057
14,0.2515516828840725
15,0.200359445040122
16,0.16087326521751374
17,0.1895361983873359
18,0.2365046533520798
19,0.20448121624533586
20,0.17618081623613938
1,0.09593285870829678
2,0.19458584535699144
3,0.27531516832980996
4,0.3352012710407049
5,0.21295294955283062
6,0.2881331710640906
7,0.22940410679018397
8,0.19787314704861286
9,0.18516946512878257
10,0.2680090110975027
11,0.18222435473015727
12,0.15046463977221158
13,0.17133976933820103
14,0.2508223636834491
15,0.16171034448182334
16,0.11890778790382284
17,0.16992663877859765
18,0.22224402828672224
19,0.15983839172465117
20,0.12149076347982758
1,0.05039275485956151
2,0.09413916758882392
3,0.12455245918988811
4,0.15348822677495644
5,0.08078431806040709
6,0.09527576444561434
7,0.1021249387456274
8,0.10196371423380908
9,0.06518660765878403
10,0.08031739785998833
11,0.07913835939429009
12,0.07250758033940703
13,0.05827004784910776
14,0.0740212024308666
15,0.06580624887590386
16,0.051360663978229214
17,0.0625038980523367
18,0.07267580203384406
19,0.07091997881591947
20,0.06507220383339796
1,0.04686105267871938
2,0.09106985405021557
3,0.124699627943363
4,0.15571369030909957
5,0.10829580375557171
6,0.09383454120783391
7,0.09637261484155964
8,0.10590437550154319
9,0.10396040031598149
10,0.0716371252982707
11,0.07003907465999747
12,0.07884622722686341
13,0.09688477223841481
14,0.06796132892190368
15,0.05816383902379136
16,0.06059610186534084
17,0.092667442414547
18,0.07362149835555477
19,0.06619783698868956
20,0.06691365810364873
1,0.04181068382818163
2,0.08643775260252949
3,0.11841442358425514
4,0.13989345203948572
5,0.09802505252501147
6,0.1348990869490834
7,0.12003288270318441
8,0.10483760044194591
9,0.08585781053402956
10,0.12249540907557342
11,0.10475028598871809
12,0.08822921133451013
13,0.07844976425174018
14,0.11200167094907706
15,0.09426237192349875
16,0.07579994397848783
17,0.07808108227331079
18,0.09969586661212353
19,0.08357542719448259
20,0.0683054609700344
1,0.03956149452751327
2,0.08243352226638043
3,0.11360960002389718
4,0.1400276802368659
5,0.0993359945945558
6,0.08911453729870113
7,0.0755005404979781
8,0.07100451397886609
9,0.097806191900652
10,0.07157588422943066
11,0.05452739176172624
12,0.05130472340741937
13,0.09356110769684496
14,0.068763362713199
15,0.04880196157540206
16,0.042148938385943684
17,0.09143098250121266
18,0.07773357669997814
19,0.05771850991277602
20,0.04812172491895755
1,0.163616027186286
2,0.3034981051017317
3,0.427873649636756
4,0.5276368000892645
5,0.27865600054796036
6,0.3311752881746498
7,0.2637247120536372
8,0.24896237870941398
9,0.24002105277381733
10,0.30755193003141806
11,0.20923024351150113
12,0.19620853740298544
13,0.23374932903280388
14,0.30647544091189355
15,0.20635748921268596
16,0.1758613536959026
17,0.2513614960552335
18,0.31117835503781227
19,0.23552863288950124
20,0.1911028119875306
1,0.08134507211937193
2,0.169597876236504
3,0.22737348795985945
4,0.26656387844132495
5,0.14538044704579334
6,0.23364192187399635
7,0.22082018685861557
8,0.19820286731508463
9,0.12072968590524584
10,0.22359482280356183
11,0.20288340248777295
12,0.17362580257396856
13,0.12108422617780286
14,0.21343430431623273
15,0.1854097345137695
16,0.14973351154693915
17,0.13850362611789235
18,0.20598802801507915
19,0.18266697209697438
20,0.15277475607968516
1,0.14493895861808423
2,0.2693742341419469
3,0.3749709626012937
4,0.4565366879011701
5,0.23145481904739165
6,0.28591782036548546
7,0.22974678965533976
8,0.2171104554336179
9,0.1917773001732329
10,0.2520156963336221
11,0.1736690487365655
12,0.16439719168559247
13,0.18015090144415583
14,0.24863009480808154
15,0.16420298023009616
16,0.1416090456241432
17,0.19919389017055694
18,0.24506833453341573
19,0.17994788615514387
20,0.1477298137255056
1,0.14493895861808423
2,0.2693742341419469
3,0.3749709626012937
4,0.4565366879011701
5,0.23145481904739165
6,0.28591782036548546
7,0.22974678965533976
8,0.2171104554336179
9,0.1917773001732329
10,0.2520156963336221
11,0.1736690487365655
12,0.16439719168559247
13,0.18015090144415583
14,0.24863009480808154
15,0.16420298023009616
16,0.1416090456241432
17,0.19919389017055694
18,0.24506833453341573
19,0.17994788615514387
20,0.1477298137255056
1,0.19962141090674662
2,0.4624270295342467
3,0.6609762711984152
4,0.7763559737967439
5,0.4926057681041821
6,0.7111850358453774
7,0.6306739931451893
8,0.5476612984719069
9,0.4370003959885373
10,0.6627322401710711
11,0.5698192510582742
12,0.4804303322608556
13,0.41526408650208957
14,0.6198615562151991
15,0.5225157093669786
16,0.42617811484541046
17,0.4316997282460646
18,0.5900363001548558
19,0.5048511633545569
20,0.42903810145345117
1,0.0692063742739708
2,0.14469746396047586
3,0.20337051658979216
4,0.25592890291270937
5,0.15237986767937925
6,0.16285525392250277
7,0.14394125964748083
8,0.1356230283408538
9,0.1057866754036004
10,0.1370111920504458
11,0.11729953539957597
12,0.10185971506912173
13,0.06681868916571994
14,0.11895109587998583
15,0.09922128719385279
16,0.07752886523993056
17,0.05822635934733487
18,0.11038501998859003
19,0.0952558752773538
20,0.07212081847266376
1,0.0724171566679418
2,0.14761206046865333
3,0.2072346773821065
4,0.2631078309878566
5,0.14679560024897817
6,0.14249365025197352
7,0.1295394587767236
8,0.13259292973326198
9,0.09625586582430738
10,0.10856062439975427
11,0.09248378767146345
12,0.09153472176058139
13,0.05244179249907983
14,0.08533799587483863
15,0.0694862923299894
16,0.05997599605392392
17,0.04461803989326969
18,0.08108766741610562
19,0.07463544077323479
20,0.06513137063888212
1,0.07309188259498747
2,0.1316631860936501
3,0.16763790456054842
4,0.1944020218884178
5,0.12134649850172967
6,0.14343599905792678
7,0.13035674779020018
8,0.12014371806182685
9,0.10887040156754207
10,0.12890461155821853
11,0.11050384696542762
12,0.09636885955084823
13,0.10412041772230776
14,0.12203472109944657
15,0.1018937473020332
16,0.08623101661511376
17,0.10781616521426136
18,0.12218588383267384
19,0.10414221305610079
20,0.09213010887362257
