landmark index,distance to wrist
1,0.24602476932846964
2,0.4787177260186973
3,0.6818364020007879
4,0.8168229838874662
5,0.61931458812178
6,0.836034425102597
7,0.657926937179334
8,0.5527452963714979
9,0.5933490060987427
10,0.8059115827900322
11,0.5740302140423191
12,0.47145873698219865
13,0.5611231492672643
14,0.7589795159884066
15,0.5282361531249169
16,0.3969769270877965
17,0.5255495633801575
18,0.6947392145193229
19,0.5362105997094415
20,0.4261937765374117
1,0.21517168220015062
2,0.40141398992062327
3,0.5629968127738211
4,0.6754767790255237
5,0.3842170369311619
6,0.45410526563769255
7,0.35676773567874365
8,0.3210368588302374
9,0.321408413686023
10,0.41506404016867426
11,0.2962000422451236
12,0.26266904793510826
13,0.28538938854915075
14,0.3934608265769221
15,0.25477590928661126
16,0.18856703538294253
17,0.27707746016987583
18,0.36112781981748854
19,0.2569982113426477
20,0.19746934435626753
1,0.16837991013122644
2,0.29555949551614524
3,0.41232131939747874
4,0.5112207394441908
5,0.27110787733333713
6,0.2976364436813688
7,0.26000478977239055
8,0.23065372013465055
9,0.24034697100943878
10,0.24391361388876243
11,0.20730315197410829
12,0.17804625344906458
13,0.23201983306232937
14,0.21999771707384047
15,0.18691212532876694
16,0.15695688770444052
17,0.24356848900164094
18,0.22811119868820715
19,0.19475393375036792
20,0.171363075285914
1,0.1698353997244794
2,0.31096872076266263
3,0.4317138423729041
4,0.5311544524904459
5,0.2935856025395075
6,0.34042453326659
7,0.3069668645763966
8,0.2731638553271724
9,0.2534262865780647
10,0.2845314619017603
11,0.2538841141584
12,0.21613549702942564
13,0.22681438631522197
14,0.24475655290751
15,0.21285269673040577
16,0.17521498810842678
17,0.22649579998231922
18,0.23654433702755928
19,0.20594612197244333
20,0.1804719909481134
1,0.04367810572172293
2,0.08605696719812969
3,0.12182711254084536
4,0.15167092302307883
5,0.10119101832604994
6,0.12857355395213935
7,0.1082316850965154
8,0.09743735821113873
9,0.1019949038303899
10,0.11512613330610613
11,0.08619848645988021
12,0.08306776509463214
13,0.10369956692520824
14,0.10842124136701668
15,0.07684353953785897
16,0.07549315055882316
17,0.10873679626945336
18,0.1088457438009069
19,0.08126430913673385
20,0.07764405412130795
1,0.03989682130506634
2,0.07972160689385299
3,0.11537364327680104
4,0.14644613006360133
5,0.09698677302646337
6,0.1118066242377051
7,0.09290834849003561
8,0.08706277226889692
9,0.10062999044818617
10,0.10028455693777728
11,0.06828320145155363
12,0.06854725260656705
13,0.10455747695639224
14,0.09687305188214931
15,0.06498650245846657
16,0.06558419004707616
17,0.11079479045577591
18,0.09958925582302819
19,0.07493563929685815
20,0.0737844700678906
1,0.09206308801158809
2,0.16806002444999818
3,0.23513100750260743
4,0.2981893032277773
5,0.21724053770407775
6,0.24813734464494472
7,0.24269204188669094
8,0.2356713722353891
9,0.20873849885702328
10,0.22494604016319647
11,0.21218411036311463
12,0.20414146004676587
13,0.19475181092873906
14,0.206485790278094
15,0.17973505816959415
16,0.1649786636268178
17,0.18338870367785035
18,0.1847842620674535
19,0.16753497393595496
20,0.1566003095142728
1,0.09683949888321178
2,0.18214579851852514
3,0.2333405346223199
4,0.27177529465645506
5,0.3075901782211061
6,0.29040826526796426
7,0.27265925932347235
8,0.27419180740375343
9,0.3024534141607762
10,0.26091791555682414
11,0.20938561570056652
12,0.1925719794690608
13,0.28100023035257476
14,0.2511440314965326
15,0.18012596024770886
16,0.14462288127972345
17,0.25904608032559884
18,0.23972234736024953
19,0.18682057562813886
20,0.1530778001509302
1,0.09226119499264497
2,0.18932206812353528
3,0.26708741062839203
4,0.3226925678333347
5,0.19698920249265905
6,0.2524853373759202
7,0.19698088577365563
8,0.18840343892337758
9,0.17121416978034804
10,0.2285599768231302
11,0.1515355612820535
12,0.14936580009511882
13,0.15877784313956975
14,0.21643136909807065
15,0.13609948172748068
16,0.11961240132198524
17,0.16109381968768213
18,0.2008222728814959
19,0.14328462726209326
20,0.11834221498087608
1,0.03175457250051314
2,0.06532522196065504
3,0.09157415502704964
4,0.11275726445233414
5,0.07143086233398391
6,0.11020360614160372
7,0.13521580191465554
8,0.15386776871506425
9,0.06403369799878299
10,0.10389540569169824
11,0.1310428658250688
12,0.1515045005218949
13,0.058302080775512403
14,0.09426993102924529
15,0.1197415900529773
16,0.13934451815126433
17,0.061185444826293386
18,0.08701679843284643
19,0.10435933591061945
20,0.1197429856978515
1,0.04189903249191445
2,0.08140964964924381
3,0.11335691966860569
4,0.1395693346170186
5,0.11649074908336624
6,0.11777336441112618
7,0.10441082279155409
8,0.10646582874766503
9,0.11504209079172793
10,0.10231460833615427
11,0.08473568217107381
12,0.08901597900431239
13,0.10879071439119545
14,0.09041704991833666
15,0.06954415065301228
16,0.07197122452829978
17,0.10509368918194249
18,0.08925418550825845
19,0.07329290481805181
20,0.0745479056246616
1,0.1109217278491376
2,0.2099178194796388
3,0.2942508289771695
4,0.37330100897522955
5,0.24395567517830033
6,0.23942074491793647
7,0.21597627743654763
8,0.21438403631677275
9,0.2408118556439816
10,0.21103763722421662
11,0.16900395614086858
12,0.16389361760683716
13,0.2430887594145776
14,0.1959258731206942
15,0.14661783614850382
16,0.13575898946672926
17,0.25252620982849266
18,0.20830404114287907
19,0.1605330756984068
20,0.14568221908357212
1,0.13618139075185623
2,0.26259352132921104
3,0.3731589504170588
4,0.4500438445887032
5,0.26280625336496505
6,0.2872147446004201
7,0.2481606868351081
8,0.2127769539144954
9,0.24520339228269952
10,0.27851798519944
11,0.24663991219507267
12,0.21133918852313402
