landmark index,distance to wrist
1,0.1617648244105461
2,0.26452817387419886
3,0.3658392908422011
4,0.433334471712505
5,0.24835910140042305
6,0.3481293174934208
7,0.4050940458048405
8,0.4492434931016581
9,0.22837613882463856
10,0.2389063600179956
11,0.20455026510141183
12,0.17447872961313995
13,0.21315498643421996
14,0.20298354034884836
15,0.1654884076563032
16,0.13403135952871933
17,0.22007130047050796
18,0.20317858122393453
19,0.1729439737782561
20,0.15394095840976407
1,0.13881284667822122
2,0.23976929502195202
3,0.3261823215846653
4,0.3902070832927625
5,0.35182784918408533
6,0.46054961376111236
7,0.4420230085115694
8,0.4009614301402216
9,0.3652278791458825
10,0.5481483252498405
11,0.6746265886581182
12,0.7736118118948276
13,0.35077267697093206
14,0.49578009074708546
15,0.5692586872675844
16,0.6221198292856353
17,0.33637908944506145
18,0.41912934219467596
19,0.46577802166092125
20,0.5154574026331898
1,0.13629640753793396
2,0.2242994496605897
3,0.2870330833982551
4,0.3575322399986066
5,0.24599184858289413
6,0.35125282695500765
7,0.4301676287829552
8,0.4847789737904102
9,0.21053556909839113
10,0.31701253258340784
11,0.3868791051180212
12,0.4424446543119478
13,0.18459628214720983
14,0.273297633251123
15,0.335652928022159
16,0.37992755511169507
17,0.18196234690991914
18,0.25338376461628975
19,0.2985560415104539
20,0.33551679002848644
1,0.20488091373681458
2,0.3458488563825796
3,0.4896444026240015
4,0.5883680721322815
5,0.4188525365512973
6,0.6460315925919284
7,0.5818898628880842
8,0.49403863298580797
9,0.41549114416031263
10,0.6412268968756358
11,0.5525121789804646
12,0.4520449050275126
13,0.448813408351661
14,0.5880031885839644
15,0.49661742099262535
16,0.4158398509929849
17,0.5077870760703849
18,0.5630884741071212
19,0.47373720669396796
20,0.4128140598156724
1,0.09658033627043337
2,0.1700467963042601
3,0.22261234309416247
4,0.27373375712866926
5,0.15258731734475817
6,0.1832807778494584
7,0.15174979898537888
8,0.12554698550147034
9,0.13508655697062033
10,0.16576751580992952
11,0.12423503845015321
12,0.09112421857482786
13,0.1327161219393384
14,0.15885594664900496
15,0.11252664208560106
16,0.07367623056980144
17,0.1469724732409878
18,0.17098427269835548
19,0.13931543061740648
20,0.11339963951817324
1,0.1885628268112782
2,0.32641743439960763
3,0.4174423138307132
4,0.4518671962598741
5,0.3646747627164119
6,0.5423511019001147
7,0.6367458422230664
8,0.7154911120211379
9,0.3737667029823924
10,0.5724482173755289
11,0.6853221273631058
12,0.772344843533897
13,0.39692275236634966
14,0.6000260306413976
15,0.7226689208125346
16,0.8115049492848765
17,0.4333382439409143
18,0.5908320877873503
19,0.6720687643128945
20,0.7412806362010818
1,0.10655358773391545
2,0.17801183628832037
3,0.22441675544785786
4,0.2619555853286519
5,0.21838313264373968
6,0.3019262944575876
7,0.35431965613328725
8,0.39877647408100114
9,0.20196764086047775
10,0.316212819538314
11,0.32423182449835747
12,0.30962994656783255
13,0.18489644453624693
14,0.2883801680544393
15,0.2585150363781622
16,0.21992336989402017
17,0.18722305685923643
18,0.25316669849302376
19,0.22404383958942314
20,0.1919492771917478
1,0.08385898507610107
2,0.18113013371143333
3,0.2575895291982873
4,0.3229198676522619
5,0.1514028672326752
6,0.2251744614306459
7,0.2734826940805588
8,0.32030642472094756
9,0.12580810815181423
10,0.2174762647831358
11,0.285480716962481
12,0.3462401831838184
13,0.11609751496767322
14,0.18014564710256903
15,0.22302763127605152
16,0.26332450459875245
17,0.12575972960278392
18,0.16604680900000904
19,0.17521119467228538
20,0.1826380954120231
1,0.08091777546941625
2,0.14601303418587505
3,0.19780071944938032
4,0.24484755073173092
5,0.23900281383297003
6,0.31840222368351784
7,0.37290325269070357
8,0.4202962063287094
9,0.2124037450188313
10,0.27971736410248915
11,0.23557026670506917
12,0.19663496072202627
13,0.1812427045979006
14,0.2331477568011992
15,0.18376632181747402
16,0.14468689430613482
17,0.1462225041735252
18,0.1861930051691378
19,0.1514971991598196
20,0.12062143798289422
1,0.19762117072687935
2,0.28180795870305714
3,0.33341143365393444
4,0.39225614059668495
5,0.3250694131684088
6,0.41346212061253923
7,0.4911523723285018
8,0.5605133001336201
9,0.3101820958019771
10,0.42957916793639833
11,0.5240502748952413
12,0.6118487938800947
13,0.2957825515553026
14,0.4133562024731834
15,0.5014384022048695
16,0.5850382190478507
17,0.2860617913953186
18,0.37890128307858384
19,0.445128369873705
20,0.5052110737054989
1,0.23720320711752527
2,0.4198097690040701
3,0.5817555384657298
4,0.7132922990763803
5,0.40097248900829413
6,0.505234289221863
7,0.5784479568838228
8,0.6288916124804351
9,0.34593009368331046
10,0.33162058619864754
11,0.298875790970542
12,0.2663673654889024
13,0.2806218023801724
14,0.2658492282425537
15,0.23330406521357416
16,0.19792433841113485
17,0.25810155764918474
18,0.22838264763665478
19,0.19647590546990074
20,0.16864946709639447
1,0.08901796655212513
2,0.14766625392859692
3,0.19813548087833965
4,0.23778239717956923
5,0.1808427487886035
6,0.24365564496819342
7,0.28478546323521625
8,0.31964645392214186
9,0.16761023676395445
10,0.2150889419031546
11,0.19868144029668638
12,0.1764672401680227
13,0.14498447797268246
14,0.199237316091979
15,0.17746203012244974
16,0.15033594606441628
17,0.12507108487512061
18,0.1770495417456727
19,0.16344936811738842
20,0.14037672223552392
1,0.08567055711448816
2,0.12634701620704372
3,0.15859170745389475
4,0.18393304466248783
5,0.1332563633241712
6,0.19142832097298898
7,0.22656420960232057
8,0.25652418766067525
9,0.11842897817935996
10,0.16329575337681418
11,0.17757141949316954
12,0.1828420247026386
13,0.11279266202182922
14,0.14441255159524077
15,0.13095487925280433
16,0.11357135879246288
17,0.11930827206668937
18,0.1352671054346396
19,0.12592314992386994
20,0.11140744706226209
1,0.07597549545724726
2,0.12443699601009843
3,0.16112081145779908
4,0.1865060824675302
5,0.1622115048979918
6,0.2113115661848299
7,0.24542866125785406
8,0.2745088455437619
9,0.14576810673851734
10,0.195469697008917
11,0.18028559413295986
12,0.1558200232405909
13,0.12238275797432971
14,0.17557865745621204
15,0.15492402334973276
16,0.127021202675257
17,0.10407861869925396
18,0.15442083639289628
19,0.13971840714541017
20,0.11263280032068432
1,0.12653261304598026
2,0.24190478193280085
3,0.34494487122084794
4,0.4289660174622248
5,0.3331147307774975
6,0.47060886746250763
7,0.5539669701306755
8,0.6298573696198627
9,0.3340988151015706
10,0.4836693203645874
11,0.5849298010691781
12,0.670178152282571
13,0.31503101537611866
14,0.4525900429974125
15,0.5469749331448783
16,0.624258377622321
17,0.2871739891674816
18,0.39945538689012156
19,0.47126568148104203
20,0.5371783249853911
1,0.12426981427680407
2,0.24059486436381874
3,0.3375091487742335
4,0.40304692426707045
5,0.27484559040175865
6,0.38227928414301093
7,0.4205636344070299
8,0.4358162227435616
9,0.28404700112474957
10,0.4065849203471362
11,0.497124118021178
12,0.5711101836613209
13,0.2844526619815484
14,0.418433762957278
15,0.501951429340221
16,0.571757986096729
17,0.2817681987751523
18,0.3962388321705602
19,0.4694172940460733
20,0.5263081234861551
1,0.1925504205584481
2,0.3753110413754344
3,0.46229055903924826
4,0.5150921773723514
5,0.4847009218734658
6,0.7162482931110772
7,0.8383694188021446
8,0.9440375268319653
9,0.4348187401055681
10,0.5686280750862505
11,0.4132315457114795
12,0.36411054451248875
13,0.3998409807114955
14,0.47918716636803177
15,0.3185798575085923
16,0.27320363891256905
17,0.381693802023094
18,0.43285817043285857
19,0.3089675537638306
20,0.2708726260253111
1,0.1774667464529508
2,0.32216460435359656
3,0.43014489939687295
4,0.5173711875755338
5,0.4125023713440284
6,0.5954066625465644
7,0.6861587400504672
8,0.7279384914994583
9,0.3748495829490722
10,0.5864584751149221
11,0.5787434018050575
12,0.5354271611597583
13,0.3252900860311816
14,0.492005404236594
15,0.42419796962242606
16,0.3459480912006914
17,0.27285791842453405
18,0.3870050051451834
19,0.3528034620574042
20,0.29922105332496435
1,0.12020242193585966
2,0.21550343044493395
3,0.2950044721063442
4,0.34932036611866496
5,0.29607618738627994
6,0.3939538504568
7,0.3912508680210673
8,0.37938401744559014
9,0.31222654365789265
10,0.46988149343854296
11,0.5681618522834726
12,0.6523369198750055
13,0.2995906642782909
14,0.448352105305223
15,0.5464982161324057
16,0.6213108027315076
17,0.2652355468854883
18,0.37210290950536895
19,0.43841703677909405
20,0.495692651221259
1,0.23159703305140986
2,0.4797663414539952
3,0.6837648807707889
4,0.7960976937759495
5,0.5336158632503367
6,0.6899517085731335
7,0.5942602546730879
8,0.5207204652577152
9,0.4609682893446581
10,0.6213560354041328
11,0.5332434065168171
12,0.4679057037674784
13,0.4002190825465094
14,0.5754581710883548
15,0.501267366023873
16,0.42545096144246514
17,0.36854209201219096
18,0.561014759349083
19,0.6658421456387924
20,0.7613854402481877
